General issue,ADVISORY,..\common\drv_common\sdl_drv_common.h:56:0,"information: Include file: <stdint.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,..\common\drv_common\sdl_drv_common.h:57:0,"information: Include file: <stddef.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,..\common\drv_common\sdl_drv_common.h:58:0,"information: Include file: "sdl/systick/drv_systick/sdl_drv_systick.h" not found. [missingInclude]"
General issue,ADVISORY,..\common\drv_common\sdl_drv_common.h:59:0,"information: Include file: "sdl/common/sdl_common.h" not found. [missingInclude]"
General issue,ADVISORY,drv_port\sdl_drv_port.h:58:0,"information: Include file: <stddef.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,drv_port\sdl_drv_port.h:59:0,"information: Include file: <stdbool.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,drv_port\sdl_drv_port.h:60:0,"information: Include file: <stdint.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,..\sdl_includes.h:57:0,"information: Include file: "device.h" not found. [missingInclude]"
General issue,ADVISORY,..\common\sdl_common.h:56:0,"information: Include file: <stdint.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,..\common\sdl_common.h:57:0,"information: Include file: <stddef.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,sdl_port.c:391:106,"style: Same expression on both sides of '/'. [duplicateExpression]"
General issue,ADVISORY,sdl_port.c:283:24,"style: The scope of the variable 'sdlPortPinState' can be reduced. [variableScope]"
General issue,ADVISORY,sdl_port.c:382:54,"style: Parameter 'sdlPortConfig' can be declared as pointer to const [constParameterPointer]"
General issue,ADVISORY,sdl_port.c:431:58,"style: Parameter 'sdlPortConfig' can be declared as pointer to const [constParameterPointer]"
8.11,ADVISORY,drv_port\sdl_drv_port.h:79:33,"When an array with external linkage is declared, its size should be explicitly specified"
12.1,ADVISORY,sdl_port.c:136:58,"The precedence of operators within expressions should be made explicit"
12.1,ADVISORY,sdl_port.c:147:58,"The precedence of operators within expressions should be made explicit"
12.1,ADVISORY,sdl_port.c:217:58,"The precedence of operators within expressions should be made explicit"
12.1,ADVISORY,sdl_port.c:228:58,"The precedence of operators within expressions should be made explicit"
12.1,ADVISORY,sdl_port.c:312:58,"The precedence of operators within expressions should be made explicit"
12.1,ADVISORY,sdl_port.c:326:58,"The precedence of operators within expressions should be made explicit"
15.5,ADVISORY,sdl_port.c:117:9,"A function should have a single point of exit at the end"
15.5,ADVISORY,sdl_port.c:125:9,"A function should have a single point of exit at the end"
15.5,ADVISORY,sdl_port.c:202:9,"A function should have a single point of exit at the end"
15.5,ADVISORY,sdl_port.c:210:9,"A function should have a single point of exit at the end"
15.5,ADVISORY,sdl_port.c:289:9,"A function should have a single point of exit at the end"
15.5,ADVISORY,sdl_port.c:297:9,"A function should have a single point of exit at the end"
General issue,ADVISORY,sdl_port.c:108:0,"style: The function 'SDL_PORT_OutputMonitoring' is never used. [unusedFunction]"
General issue,ADVISORY,sdl_port.c:193:0,"style: The function 'SDL_PORT_InputOutputDirection' is never used. [unusedFunction]"
General issue,ADVISORY,sdl_port.c:279:0,"style: The function 'SDL_PORT_PullUpPullDown' is never used. [unusedFunction]"
General issue,ADVISORY,sdl_port.c:382:0,"style: The function 'SDL_PORT_SFRReset' is never used. [unusedFunction]"
General issue,ADVISORY,sdl_port.c:431:0,"style: The function 'SDL_PORT_SFRWriteRead' is never used. [unusedFunction]"
